fecha 	 low 	 open 	 close 	 high 	 highpoint 	 lowpoint 	 ema short 	 ema mid 	 signal 	 shorttrend 	 midtrend 	 longtrend 	 action 
08/08/2001	1,32	1,34	1,34	1,34	1,3669	1,4435	-0,3468	false	false	null	null	DOWNTREND	0
09/08/2001	1,34	1,35	1,35	1,35	1,3648	1,4398	-0,2601	false	false	null	null	DOWNTREND	0
10/08/2001	1,34	1,35	1,35	1,35	1,3629	1,4363	-0,1301	true	false	null	null	DOWNTREND	0
13/08/2001	1,34	1,34	1,34	1,34	1,3601	1,4325	-0,1138	false	false	null	null	DOWNTREND	0
14/08/2001	1,31	1,31	1,31	1,34	1,3538	1,4277	-0,1829	false	true	null	null	UPTREND	0
15/08/2001	1,34	1,35	1,35	1,35	1,3533	1,4247	-0,16	false	false	null	null	UPTREND	0
16/08/2001	1,36	1,37	1,37	1,37	1,3554	1,4225	-0,0776	true	false	null	null	UPTREND	0
17/08/2001	1,34	1,34	1,34	1,36	1,3535	1,4193	0	false	false	null	null	UPTREND	0
20/08/2001	1,34	1,34	1,34	1,34	1,3518	1,4162	-0,0255	false	false	null	null	UPTREND	0
21/08/2001	1,28	1,28	1,28	1,32	1,3428	1,4108	-0,2097	false	true	null	null	UPTREND	0
22/08/2001	1,31	1,38	1,38	1,39	1,3475	1,4096	-0,1003	false	false	null	null	UPTREND	0
23/08/2001	1,38	1,41	1,41	1,41	1,3553	1,4096	0,0581	true	false	null	null	UPTREND	1
24/08/2001	1,4	1,4	1,4	1,4	1,3609	1,4093	0,3076	false	false	null	null	UPTREND	0
27/08/2001	1,41	1,41	1,41	1,41	1,367	1,4093	0,3253	false	false	null	null	UPTREND	0
28/08/2001	1,42	1,43	1,43	1,44	1,3749	1,4101	0,3262	true	false	null	null	UPTREND	0
29/08/2001	1,43	1,43	1,43	1,43	1,3818	1,4109	0,3478	false	false	null	null	UPTREND	0
30/08/2001	1,4	1,4	1,4	1,4	1,3841	1,4105	0,2837	false	false	null	null	UPTREND	0
31/08/2001	1,4	1,4	1,4	1,4	1,3861	1,41	0,1859	false	false	null	null	UPTREND	0
03/09/2001	1,4	1,4	1,4	1,4	1,3878	1,4097	0,1002	false	false	null	null	UPTREND	0
04/09/2001	1,37	1,4	1,4	1,4	1,3893	1,4093	0,0877	false	true	null	null	UPTREND	0
05/09/2001	1,4	1,41	1,41	1,41	1,3919	1,4093	0,0976	true	false	null	null	UPTREND	0
06/09/2001	1,39	1,39	1,39	1,39	1,3917	1,4085	0,0789	false	false	null	null	UPTREND	0
07/09/2001	1,36	1,38	1,38	1,38	1,3902	1,4074	0	false	false	null	null	UPTREND	0
10/09/2001	1,3	1,3	1,3	1,36	1,3789	1,4032	-0,9385	false	false	null	null	UPTREND	-1
11/09/2001	1,3	1,3	1,3	1,3	1,3691	1,3992	-0,376	false	false	null	null	UPTREND	0
12/09/2001	1,3	1,3	1,3	1,3	1,3604	1,3953	-0,4946	false	false	null	null	UPTREND	0
13/09/2001	1,29	1,3	1,3	1,3	1,3529	1,3915	-0,4331	false	false	null	null	UPTREND	0
14/09/2001	1,2	1,3	1,3	1,3	1,3463	1,388	-0,3792	false	false	null	null	UPTREND	0
