Date,Open,High,Low,Close,Volume,Adj Close
2011-02-21,6.13,6.14,6.00,6.07,18200,5.52
2011-02-17,6.14,6.25,6.14,6.21,32600,5.65
2011-02-16,6.25,6.26,6.11,6.12,116200,5.57
2011-02-15,6.27,6.27,6.20,6.21,18900,5.65
2011-02-14,6.29,6.30,6.22,6.25,80500,5.69
2011-02-11,6.37,6.37,6.28,6.34,10100,5.77
2011-02-10,6.45,6.45,6.35,6.38,55300,5.81
2011-02-09,6.69,6.69,6.54,6.54,15700,5.95
2011-02-08,6.67,6.69,6.62,6.69,26000,6.09
2011-02-07,6.65,6.70,6.62,6.69,99900,6.09
2011-02-04,6.65,6.68,6.60,6.65,47900,6.05
2011-02-03,6.51,6.60,6.50,6.60,50500,6.01
2011-02-02,6.70,6.70,6.50,6.55,18900,5.96
2011-02-01,6.60,6.70,6.55,6.55,63000,5.96
2011-01-31,6.33,6.44,6.33,6.44,26900,5.86
2011-01-28,6.49,6.50,6.30,6.35,90400,5.78
2011-01-27,6.55,6.57,6.41,6.47,73400,5.89
2011-01-26,6.49,6.51,6.40,6.45,75300,5.87
2011-01-25,6.60,6.65,6.45,6.45,38400,5.87
2011-01-24,6.65,6.75,6.55,6.55,31100,5.96
2011-01-21,6.70,6.73,6.60,6.65,102900,6.05
2011-01-20,6.70,6.70,6.50,6.65,58800,6.05
2011-01-19,6.55,6.66,6.48,6.65,135500,6.05
2011-01-18,6.80,7.05,6.44,6.55,407800,5.96
2011-01-17,6.50,6.80,6.50,6.70,91200,6.10
2011-01-14,6.45,6.50,6.40,6.45,17600,5.87
2011-01-13,6.50,6.60,6.42,6.42,26900,5.84
2011-01-12,6.75,6.75,6.50,6.50,81400,5.92
2011-01-11,6.70,6.70,6.55,6.55,56200,5.96
2011-01-10,6.70,6.70,6.52,6.62,37500,6.03
2011-01-07,6.85,6.87,6.65,6.75,62100,6.14
2011-01-06,6.80,7.10,6.80,6.85,235800,6.23
2011-01-05,6.62,6.74,6.61,6.73,164300,6.13
2011-01-04,6.65,6.65,6.45,6.62,83300,6.03
2011-01-03,6.37,6.60,6.37,6.56,65900,5.97
2010-12-31,6.32,6.32,6.32,6.32,000,5.75
2010-12-30,6.39,6.40,6.32,6.32,20600,5.75
2010-12-29,6.32,6.32,6.25,6.30,242700,5.73
2010-12-28,6.32,6.33,6.25,6.25,32000,5.69
2010-12-27,6.39,6.39,6.20,6.25,116600,5.69
2010-12-24,6.50,6.50,6.33,6.39,80700,5.82
2010-12-23,6.50,6.50,6.33,6.39,80700,5.82
2010-12-22,6.40,6.40,6.35,6.40,46700,5.82
2010-12-21,6.35,6.35,6.25,6.35,46800,5.78
2010-12-20,6.30,6.41,6.30,6.33,39700,5.76
2010-12-17,6.35,6.37,6.27,6.30,21300,5.73
2010-12-16,6.29,6.34,6.29,6.33,20600,5.76
2010-12-15,6.30,6.32,6.28,6.29,161000,5.72
2010-12-14,6.40,6.40,6.32,6.33,48500,5.76
2010-12-13,6.35,6.40,6.25,6.40,100700,5.82
2010-12-10,6.39,6.39,6.30,6.35,34300,5.78
2010-12-09,6.45,6.45,6.40,6.40,33000,5.82
2010-12-08,6.41,6.41,6.41,6.41,000,5.83
2010-12-07,6.60,6.60,6.41,6.41,52100,5.83
2010-12-06,6.50,6.50,6.39,6.50,42300,5.92
2010-12-03,6.51,6.54,6.51,6.53,87000,5.94
2010-12-02,6.50,6.55,6.41,6.54,162400,5.95
2010-12-01,6.50,6.50,6.30,6.45,36700,5.87
2010-11-30,6.45,6.50,6.30,6.41,63700,5.83
2010-11-29,6.45,6.46,6.30,6.45,122700,5.87
2010-11-26,6.30,6.50,6.30,6.45,53000,5.87
2010-11-25,6.25,6.30,6.25,6.30,34200,5.73
2010-11-24,6.20,6.40,6.15,6.25,219200,5.69
2010-11-23,6.30,6.30,6.18,6.18,18500,5.62
2010-11-22,6.44,6.44,6.35,6.35,39000,5.78
2010-11-19,6.44,6.44,6.35,6.35,39000,5.78
2010-11-18,6.33,6.47,6.33,6.44,86500,5.86
